Predicted_Price,Loss_Profit,Current_Price,Coin_Name,Date
1829.3063,2.3674316,1826.9388427734373,ETH,2023-08-08
17974.287,16147.349,1826.9388427734373,ETH,2023-08-09
22395.074,20568.135,1826.9388427734373,ETH,2023-08-10
20026.56,18199.621,1826.9388427734373,ETH,2023-08-11
20401.05,18574.111,1826.9388427734373,ETH,2023-08-12
15527.492,13700.554,1826.9388427734373,ETH,2023-08-13
5499.823,3672.8843,1826.9388427734373,ETH,2023-08-14
1516.0618,-310.87708,1826.9388427734373,ETH,2023-08-15
984.38367,-842.5552,1826.9388427734373,ETH,2023-08-16
579.4589,-1247.48,1826.9388427734373,ETH,2023-08-17
8614.757,6787.818,1826.9388427734373,ETH,2023-08-18
14762.811,12935.872,1826.9388427734373,ETH,2023-08-19
20250.783,18423.844,1826.9388427734373,ETH,2023-08-20
20720.51,18893.57,1826.9388427734373,ETH,2023-08-21
15401.791,13574.853,1826.9388427734373,ETH,2023-08-22
6642.7188,4815.78,1826.9388427734373,ETH,2023-08-23
984.38367,-842.5552,1826.9388427734373,ETH,2023-08-24
984.38367,-842.5552,1826.9388427734373,ETH,2023-08-25
579.4561,-1247.4827,1826.9388427734373,ETH,2023-08-26
-110.28028,-1937.2191,1826.9388427734373,ETH,2023-08-27
984.38367,-842.5552,1826.9388427734373,ETH,2023-08-28
9665.232,7838.2935,1826.9388427734373,ETH,2023-08-29
19892.578,18065.639,1826.9388427734373,ETH,2023-08-30
20814.275,18987.336,1826.9388427734373,ETH,2023-08-31
25228.668,23401.729,1826.9388427734373,ETH,2023-09-01
19212.633,17385.693,1826.9388427734373,ETH,2023-09-02
11081.812,9254.873,1826.9388427734373,ETH,2023-09-03
984.38367,-842.5552,1826.9388427734373,ETH,2023-09-04
984.38367,-842.5552,1826.9388427734373,ETH,2023-09-05
579.4561,-1247.4827,1826.9388427734373,ETH,2023-09-06
